airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK,Kolkata,Evening,1,Morning,Delhi,Business,16.08,47,68303
Vistara,UK,Hyderabad,Afternoon,1,Morning,Chennai,Economy,19.92,36,6287
Air_India,AI,Kolkata,Night,0,Late_Night,Bangalore,Economy,2.58,7,6489
Air_India,AI,Mumbai,Early_Morning,0,Morning,Delhi,Economy,2.25,46,2464
AirAsia,I5,Kolkata,Early_Morning,0,Morning,Chennai,Economy,2.33,5,7798
SpiceJet,SG,Bangalore,Early_Morning,0,Morning,Delhi,Economy,2.75,11,7488
Vistara,UK,Hyderabad,Night,1,Afternoon,Mumbai,Business,16.0,40,66267
Vistara,UK,Delhi,Evening,1,Morning,Mumbai,Business,16.33,7,41281
Air_India,AI,Mumbai,Early_Morning,1,Night,Chennai,Business,16.5,19,49613
Vistara,UK,Bangalore,Morning,1,Evening,Kolkata,Business,8.33,22,60508
Vistara,UK,Hyderabad,Night,1,Night,Chennai,Business,23.67,41,51707
Air_India,AI,Mumbai,Evening,1,Night,Delhi,Economy,5.33,14,11088
Air_India,AI,Hyderabad,Afternoon,1,Evening,Bangalore,Economy,4.67,21,5040
Indigo,6E,Mumbai,Evening,1,Late_Night,Delhi,Economy,5.08,11,5939
Indigo,6E,Kolkata,Evening,1,Early_Morning,Chennai,Economy,10.0,35,3583
Air_India,AI,Kolkata,Morning,1,Evening,Hyderabad,Economy,31.17,17,9560
Air_India,AI,Chennai,Night,1,Evening,Bangalore,Economy,19.92,26,5888
AirAsia,I5,Chennai,Evening,1,Late_Night,Mumbai,Economy,8.5,17,1830
Air_India,AI,Chennai,Early_Morning,2,Afternoon,Kolkata,Economy,32.67,9,14265
Vistara,UK,Bangalore,Early_Morning,1,Evening,Chennai,Economy,9.33,32,6510
GO_FIRST,G8,Delhi,Early_Morning,1,Night,Kolkata,Economy,15.58,37,6395
SpiceJet,SG,Delhi,Evening,1,Early_Morning,Chennai,Economy,13.08,25,4149
Vistara,UK,Delhi,Morning,0,Afternoon,Mumbai,Economy,2.33,21,2700
Air_India,AI,Kolkata,Afternoon,1,Evening,Mumbai,Economy,26.92,25,8478
Indigo,6E,Hyderabad,Afternoon,1,Night,Kolkata,Economy,6.17,33,17613
Air_India,AI,Hyderabad,Morning,1,Evening,Delhi,Business,9.83,19,39499
SpiceJet,SG,Mumbai,Morning,1,Night,Kolkata,Economy,12.75,12,7412
AirAsia,I5,Delhi,Night,1,Morning,Chennai,Economy,11.58,44,2974
Vistara,UK,Kolkata,Night,1,Evening,Delhi,Business,21.5,27,66063
Vistara,UK,Mumbai,Evening,1,Afternoon,Delhi,Economy,17.33,20,5232
AirAsia,I5,Hyderabad,Night,2,Early_Morning,Kolkata,Economy,10.25,12,5291
Indigo,6E,Bangalore,Early_Morning,1,Afternoon,Mumbai,Economy,6.25,43,2201
SpiceJet,SG,Mumbai,Morning,1,Afternoon,Delhi,Economy,5.75,33,3965
Vistara,UK,Mumbai,Evening,1,Afternoon,Delhi,Economy,17.33,31,5232
Air_India,AI,Chennai,Early_Morning,0,Morning,Mumbai,Business,1.75,38,23424
Air_India,AI,Bangalore,Night,1,Morning,Mumbai,Economy,13.17,34,6578
Air_India,AI,Hyderabad,Early_Morning,1,Night,Mumbai,Business,15.67,33,45883
Vistara,UK,Chennai,Morning,1,Evening,Kolkata,Business,7.08,32,54896
Indigo,6E,Delhi,Evening,1,Night,Bangalore,Economy,5.08,42,4094
AirAsia,I5,Kolkata,Night,1,Early_Morning,Mumbai,Economy,9.67,21,3379
Air_India,AI,Bangalore,Night,1,Afternoon,Kolkata,Economy,15.5,31,6583
Vistara,UK,Kolkata,Evening,1,Night,Chennai,Business,5.5,9,55502
Indigo,6E,Bangalore,Evening,0,Evening,Mumbai,Economy,1.83,40,2201
Vistara,UK,Hyderabad,Afternoon,1,Night,Delhi,Business,10.08,38,68899
Vistara,UK,Chennai,Early_Morning,1,Evening,Kolkata,Economy,11.17,9,14014
Air_India,AI,Mumbai,Evening,1,Afternoon,Kolkata,Economy,20.5,13,11928
Air_India,AI,Bangalore,Morning,1,Night,Hyderabad,Business,13.17,40,56476
Vistara,UK,Bangalore,Evening,1,Morning,Delhi,Business,15.25,47,57081
Vistara,UK,Mumbai,Early_Morning,1,Night,Chennai,Business,14.25,18,49613
Air_India,AI,Delhi,Night,1,Night,Mumbai,Economy,26.5,17,6981
GO_FIRST,G8,Delhi,Evening,1,Early_Morning,Kolkata,Economy,14.5,38,6395
GO_FIRST,G8,Bangalore,Early_Morning,1,Night,Hyderabad,Economy,15.33,32,6075
Vistara,UK,Mumbai,Morning,1,Night,Bangalore,Economy,10.75,12,11129
Indigo,6E,Hyderabad,Afternoon,1,Night,Kolkata,Economy,8.67,20,5293
Vistara,UK,Chennai,Early_Morning,1,Night,Mumbai,Business,15.92,31,49553
Vistara,UK,Kolkata,Early_Morning,1,Night,Mumbai,Business,16.67,41,62591
Air_India,AI,Delhi,Evening,1,Afternoon,Bangalore,Economy,23.17,25,5504
SpiceJet,SG,Chennai,Early_Morning,1,Night,Delhi,Economy,15.08,46,5100
GO_FIRST,G8,Bangalore,Afternoon,1,Night,Delhi,Economy,7.08,42,6022
SpiceJet,SG,Hyderabad,Evening,1,Evening,Kolkata,Economy,3.42,5,5292
GO_FIRST,G8,Kolkata,Afternoon,1,Night,Hyderabad,Economy,8.33,40,5574
Vistara,UK,Kolkata,Night,1,Afternoon,Delhi,Economy,16.08,16,6461
Vistara,UK,Mumbai,Morning,1,Evening,Hyderabad,Business,11.17,25,60365
Air_India,AI,Bangalore,Early_Morning,1,Night,Mumbai,Economy,13.67,21,6181
Vistara,UK,Chennai,Morning,1,Night,Delhi,Business,12.17,12,76736
Vistara,UK,Chennai,Afternoon,1,Evening,Delhi,Economy,7.25,21,5606
Air_India,AI,Hyderabad,Night,1,Morning,Kolkata,Economy,10.58,38,5629
Indigo,6E,Bangalore,Night,1,Early_Morning,Delhi,Economy,8.0,45,3845
Vistara,UK,Mumbai,Early_Morning,1,Afternoon,Hyderabad,Business,6.58,20,45805
Air_India,AI,Mumbai,Early_Morning,0,Morning,Delhi,Business,2.25,30,22140
Vistara,UK,Chennai,Morning,1,Evening,Delhi,Economy,10.0,10,12183
Air_India,AI,Bangalore,Evening,1,Morning,Hyderabad,Business,16.67,24,56476
Vistara,UK,Mumbai,Early_Morning,1,Afternoon,Delhi,Economy,6.67,40,6122
Indigo,6E,Kolkata,Early_Morning,1,Afternoon,Mumbai,Economy,5.42,35,5226
Vistara,UK,Mumbai,Morning,2,Evening,Kolkata,Economy,8.83,33,8842
Air_India,AI,Mumbai,Evening,1,Night,Delhi,Business,25.42,49,39610
Air_India,AI,Delhi,Evening,1,Morning,Bangalore,Economy,17.17,3,11520
Vistara,UK,Delhi,Night,1,Morning,Mumbai,Economy,11.58,14,9221
Air_India,AI,Chennai,Morning,1,Night,Mumbai,Economy,11.67,3,20373
Air_India,AI,Mumbai,Night,1,Afternoon,Delhi,Business,16.0,42,59021
Vistara,UK,Delhi,Afternoon,1,Early_Morning,Hyderabad,Economy,19.0,37,5772
Air_India,AI,Mumbai,Night,1,Night,Hyderabad,Economy,24.08,16,6038
Indigo,6E,Kolkata,Evening,1,Late_Night,Delhi,Economy,7.5,11,7466
Vistara,UK,Mumbai,Night,1,Evening,Hyderabad,Economy,21.17,28,4414
Air_India,AI,Chennai,Morning,1,Afternoon,Bangalore,Economy,5.83,26,5715
Air_India,AI,Hyderabad,Morning,1,Night,Bangalore,Economy,8.75,28,6734
Air_India,AI,Mumbai,Early_Morning,1,Night,Delhi,Economy,16.83,5,12978
AirAsia,I5,Mumbai,Afternoon,2,Night,Kolkata,Economy,8.0,49,2836
Air_India,AI,Bangalore,Morning,1,Evening,Mumbai,Business,7.58,28,54684
Vistara,UK,Delhi,Evening,1,Night,Mumbai,Business,30.0,3,70793
Vistara,UK,Kolkata,Night,1,Afternoon,Delhi,Economy,17.92,12,13524
Air_India,AI,Kolkata,Evening,1,Morning,Bangalore,Economy,17.92,26,5477
Indigo,6E,Hyderabad,Afternoon,1,Night,Kolkata,Economy,7.25,8,6663
Indigo,6E,Delhi,Afternoon,1,Evening,Hyderabad,Economy,3.92,30,3457
Vistara,UK,Hyderabad,Morning,1,Evening,Chennai,Economy,11.42,26,6287
Vistara,UK,Mumbai,Afternoon,1,Night,Delhi,Economy,7.17,6,15708
Vistara,UK,Hyderabad,Morning,1,Morning,Kolkata,Economy,25.17,26,8029
Vistara,UK,Mumbai,Early_Morning,1,Evening,Kolkata,Business,13.58,20,51405
Vistara,UK,Kolkata,Afternoon,1,Morning,Hyderabad,Economy,18.33,6,12210
Vistara,UK,Bangalore,Evening,1,Night,Hyderabad,Economy,26.5,22,5322
Vistara,UK,Chennai,Morning,1,Night,Bangalore,Business,9.67,37,60260
Air_India,AI,Chennai,Night,1,Morning,Hyderabad,Economy,15.58,32,3979
Vistara,UK,Delhi,Early_Morning,1,Night,Mumbai,Business,13.83,18,69113
Vistara,UK,Bangalore,Morning,1,Morning,Mumbai,Business,23.5,16,48289
Vistara,UK,Bangalore,Early_Morning,1,Night,Mumbai,Business,14.25,11,69244
Vistara,UK,Delhi,Early_Morning,1,Evening,Chennai,Economy,12.42,16,5622
Vistara,UK,Hyderabad,Morning,1,Evening,Delhi,Business,11.25,37,47395
Air_India,AI,Chennai,Early_Morning,1,Night,Delhi,Business,14.92,24,45185
Vistara,UK,Kolkata,Morning,1,Evening,Mumbai,Business,7.42,11,62591
Vistara,UK,Kolkata,Morning,1,Night,Bangalore,Business,12.42,32,60978
Vistara,UK,Delhi,Evening,1,Night,Bangalore,Economy,6.08,6,10680
AirAsia,I5,Hyderabad,Evening,1,Night,Bangalore,Economy,5.58,43,3197
Air_India,AI,Hyderabad,Early_Morning,1,Evening,Kolkata,Business,12.67,22,51707
Vistara,UK,Chennai,Afternoon,1,Night,Delhi,Business,8.17,43,60160
Vistara,UK,Bangalore,Evening,1,Morning,Hyderabad,Economy,14.83,24,10802
Vistara,UK,Delhi,Morning,1,Evening,Bangalore,Economy,7.58,18,4496
Indigo,6E,Kolkata,Early_Morning,1,Morning,Hyderabad,Economy,6.42,33,3401
Vistara,UK,Mumbai,Evening,1,Night,Delhi,Business,6.08,7,51372
Vistara,UK,Chennai,Evening,1,Night,Mumbai,Economy,5.67,10,19533
Vistara,UK,Delhi,Morning,1,Evening,Bangalore,Economy,7.58,38,4496
Air_India,AI,Kolkata,Afternoon,1,Morning,Chennai,Business,21.92,40,55087
GO_FIRST,G8,Kolkata,Afternoon,1,Night,Hyderabad,Economy,8.33,42,5574
AirAsia,I5,Kolkata,Evening,2,Late_Night,Delhi,Economy,10.67,9,5953
Vistara,UK,Bangalore,Evening,1,Late_Night,Delhi,Economy,5.92,38,4111
Air_India,AI,Kolkata,Night,1,Night,Mumbai,Business,21.83,17,45776
Air_India,AI,Mumbai,Afternoon,1,Evening,Delhi,Business,26.17,47,37244
Vistara,UK,Bangalore,Evening,1,Afternoon,Hyderabad,Economy,16.33,3,13002
Vistara,UK,Delhi,Early_Morning,1,Evening,Chennai,Business,12.42,40,60232
GO_FIRST,G8,Delhi,Evening,1,Night,Kolkata,Economy,6.58,19,5954
AirAsia,I5,Bangalore,Evening,2,Late_Night,Delhi,Economy,9.33,28,2723
Vistara,UK,Delhi,Morning,1,Night,Bangalore,Business,10.58,15,60489
Air_India,AI,Kolkata,Afternoon,0,Evening,Delhi,Economy,2.5,10,7329
Vistara,UK,Bangalore,Morning,1,Evening,Hyderabad,Business,7.25,12,56588
Indigo,6E,Mumbai,Afternoon,1,Evening,Bangalore,Economy,5.25,21,5103
Vistara,UK,Bangalore,Evening,1,Morning,Mumbai,Business,16.0,45,69244
Air_India,AI,Kolkata,Morning,1,Morning,Hyderabad,Business,24.08,36,52063
Vistara,UK,Kolkata,Early_Morning,1,Night,Bangalore,Business,15.5,28,60978
Air_India,AI,Mumbai,Morning,1,Night,Delhi,Economy,11.0,16,6260
Vistara,UK,Bangalore,Evening,1,Early_Morning,Hyderabad,Economy,11.92,16,4628
Air_India,AI,Delhi,Night,0,Night,Chennai,Economy,2.92,7,7425
Vistara,UK,Chennai,Evening,1,Night,Bangalore,Economy,6.17,14,12497
Vistara,UK,Bangalore,Evening,1,Morning,Mumbai,Economy,14.08,49,4491
Vistara,UK,Bangalore,Morning,1,Early_Morning,Hyderabad,Business,22.33,16,37985
Vistara,UK,Bangalore,Early_Morning,1,Night,Delhi,Economy,14.92,35,3346
Vistara,UK,Delhi,Afternoon,1,Night,Mumbai,Business,7.58,34,59033
GO_FIRST,G8,Kolkata,Morning,1,Evening,Bangalore,Economy,7.83,14,13525
Vistara,UK,Bangalore,Early_Morning,1,Night,Chennai,Economy,12.25,49,6510
Vistara,UK,Hyderabad,Morning,1,Night,Delhi,Business,14.5,15,51875
GO_FIRST,G8,Bangalore,Afternoon,1,Night,Delhi,Economy,7.08,43,6022
Vistara,UK,Bangalore,Early_Morning,2,Evening,Chennai,Economy,8.42,17,12106
Vistara,UK,Mumbai,Afternoon,1,Night,Delhi,Business,8.75,41,59021
Vistara,UK,Mumbai,Night,1,Morning,Chennai,Business,12.0,17,74365
Vistara,UK,Kolkata,Night,1,Night,Chennai,Economy,26.33,15,9233
Vistara,UK,Mumbai,Evening,1,Morning,Delhi,Economy,15.92,4,17178
Air_India,AI,Kolkata,Evening,1,Early_Morning,Chennai,Economy,13.0,23,5324
Vistara,UK,Kolkata,Afternoon,1,Morning,Bangalore,Business,19.5,7,60978
Vistara,UK,Delhi,Early_Morning,1,Evening,Kolkata,Economy,11.08,44,6598
Vistara,UK,Delhi,Afternoon,1,Evening,Kolkata,Business,7.08,15,65529
Air_India,AI,Kolkata,Night,1,Evening,Mumbai,Business,23.5,19,50271
Vistara,UK,Mumbai,Early_Morning,1,Night,Bangalore,Economy,16.67,7,11129
Vistara,UK,Bangalore,Early_Morning,1,Evening,Mumbai,Economy,8.5,45,6568
Vistara,UK,Hyderabad,Night,1,Evening,Kolkata,Economy,22.33,40,7767
Air_India,AI,Bangalore,Afternoon,2,Morning,Chennai,Economy,19.67,16,9841
Air_India,AI,Delhi,Morning,1,Night,Mumbai,Business,11.33,49,53164
GO_FIRST,G8,Bangalore,Early_Morning,1,Evening,Mumbai,Economy,11.75,40,6389
Vistara,UK,Hyderabad,Afternoon,1,Evening,Kolkata,Economy,6.17,42,5960
Air_India,AI,Mumbai,Early_Morning,1,Late_Night,Bangalore,Business,16.17,37,54608
SpiceJet,SG,Kolkata,Night,0,Late_Night,Mumbai,Economy,2.83,38,4499
Indigo,6E,Delhi,Afternoon,1,Evening,Kolkata,Economy,5.17,2,11678
Indigo,6E,Bangalore,Afternoon,1,Evening,Delhi,Economy,5.08,43,4071
Air_India,AI,Mumbai,Evening,1,Early_Morning,Chennai,Economy,14.0,35,5380
GO_FIRST,G8,Bangalore,Early_Morning,1,Afternoon,Delhi,Economy,8.83,23,4028
Indigo,6E,Mumbai,Night,0,Night,Kolkata,Economy,2.42,13,7413
Vistara,UK,Bangalore,Morning,1,Night,Mumbai,Business,10.08,22,56129
Air_India,AI,Delhi,Night,1,Late_Night,Bangalore,Business,5.58,38,52522
Indigo,6E,Delhi,Evening,1,Late_Night,Chennai,Economy,4.92,20,3349
Indigo,6E,Delhi,Morning,1,Night,Chennai,Economy,10.75,48,3389
AirAsia,I5,Delhi,Night,0,Night,Bangalore,Economy,2.83,26,4499
Air_India,AI,Mumbai,Evening,1,Evening,Kolkata,Economy,25.17,18,4871
Vistara,UK,Delhi,Afternoon,1,Night,Chennai,Economy,7.58,20,4979
Air_India,AI,Hyderabad,Night,1,Evening,Kolkata,Economy,22.33,18,4368
Vistara,UK,Delhi,Morning,1,Night,Bangalore,Economy,10.58,38,4496
Air_India,AI,Delhi,Afternoon,1,Night,Chennai,Business,9.17,19,47657
Air_India,AI,Chennai,Evening,1,Afternoon,Kolkata,Economy,21.5,14,16383
SpiceJet,SG,Mumbai,Early_Morning,1,Night,Kolkata,Economy,15.67,16,5289
Air_India,AI,Mumbai,Evening,1,Afternoon,Bangalore,Economy,18.5,30,6502
Vistara,UK,Mumbai,Morning,1,Evening,Delhi,Economy,9.17,24,5232
Vistara,UK,Bangalore,Morning,1,Evening,Kolkata,Business,8.08,26,67094
Vistara,UK,Delhi,Evening,1,Afternoon,Hyderabad,Economy,18.5,41,6172
GO_FIRST,G8,Hyderabad,Afternoon,1,Night,Delhi,Economy,5.25,47,6198
Indigo,6E,Hyderabad,Morning,0,Afternoon,Mumbai,Economy,1.5,5,4926
Vistara,UK,Chennai,Morning,1,Evening,Bangalore,Economy,9.5,23,4656
Air_India,AI,Chennai,Evening,0,Evening,Delhi,Business,2.83,48,27792
Indigo,6E,Delhi,Early_Morning,1,Afternoon,Bangalore,Economy,7.17,17,8723
GO_FIRST,G8,Delhi,Morning,1,Afternoon,Mumbai,Economy,5.08,38,5186
Indigo,6E,Hyderabad,Evening,1,Late_Night,Mumbai,Economy,5.08,43,4138
Air_India,AI,Mumbai,Early_Morning,1,Night,Delhi,Business,13.0,12,40435
Indigo,6E,Delhi,Evening,0,Evening,Hyderabad,Economy,2.33,47,3013
Vistara,UK,Delhi,Evening,1,Morning,Mumbai,Economy,12.42,48,6296
Air_India,AI,Delhi,Evening,1,Morning,Bangalore,Business,17.17,5,42457
Vistara,UK,Mumbai,Evening,1,Morning,Bangalore,Business,16.33,41,85744
Vistara,UK,Hyderabad,Night,1,Afternoon,Delhi,Economy,16.5,22,5892
Vistara,UK,Mumbai,Night,1,Morning,Kolkata,Business,11.67,33,69997
Vistara,UK,Bangalore,Early_Morning,1,Afternoon,Delhi,Economy,7.42,23,4111
Vistara,UK,Delhi,Afternoon,1,Night,Mumbai,Economy,7.92,48,4673
Vistara,UK,Bangalore,Evening,0,Night,Delhi,Economy,2.75,13,7489
Vistara,UK,Delhi,Afternoon,0,Evening,Kolkata,Economy,2.17,33,4000
Vistara,UK,Bangalore,Evening,1,Morning,Delhi,Economy,13.08,22,3496
GO_FIRST,G8,Mumbai,Early_Morning,0,Morning,Delhi,Economy,2.17,11,5942
Vistara,UK,Mumbai,Afternoon,1,Morning,Kolkata,Business,17.92,18,72125
Vistara,UK,Bangalore,Early_Morning,2,Evening,Kolkata,Economy,11.67,33,7106
GO_FIRST,G8,Mumbai,Early_Morning,1,Evening,Kolkata,Economy,11.92,29,5415
Air_India,AI,Hyderabad,Early_Morning,1,Night,Mumbai,Business,14.75,40,45883
Vistara,UK,Hyderabad,Night,1,Morning,Bangalore,Business,15.25,22,56702
Air_India,AI,Hyderabad,Night,1,Morning,Delhi,Business,10.92,13,39499
GO_FIRST,G8,Bangalore,Afternoon,1,Night,Hyderabad,Economy,8.17,19,4801
Indigo,6E,Chennai,Morning,1,Night,Delhi,Economy,10.58,48,3361
Vistara,UK,Hyderabad,Early_Morning,1,Night,Bangalore,Business,13.42,48,56702
GO_FIRST,G8,Delhi,Night,0,Late_Night,Mumbai,Economy,2.17,43,2410
GO_FIRST,G8,Bangalore,Night,1,Early_Morning,Mumbai,Economy,6.33,33,6389
Air_India,AI,Delhi,Evening,1,Night,Mumbai,Business,27.17,35,59033
Vistara,UK,Mumbai,Morning,2,Night,Chennai,Economy,11.17,34,8130
Vistara,UK,Mumbai,Night,1,Morning,Kolkata,Economy,9.83,10,9879
Vistara,UK,Bangalore,Evening,1,Afternoon,Hyderabad,Economy,18.75,3,11205
Air_India,AI,Hyderabad,Night,1,Morning,Bangalore,Business,12.92,26,38043
Air_India,AI,Hyderabad,Night,1,Evening,Delhi,Business,20.0,13,39499
Air_India,AI,Delhi,Afternoon,1,Afternoon,Mumbai,Business,27.5,49,44025
Vistara,UK,Hyderabad,Night,1,Evening,Mumbai,Business,21.08,40,58315
Vistara,UK,Mumbai,Afternoon,1,Afternoon,Delhi,Business,26.17,8,54429
Indigo,6E,Bangalore,Afternoon,1,Late_Night,Delhi,Economy,10.33,14,15311
Vistara,UK,Bangalore,Evening,1,Early_Morning,Hyderabad,Business,12.83,23,37985
AirAsia,I5,Mumbai,Early_Morning,1,Evening,Delhi,Economy,13.42,35,5939
GO_FIRST,G8,Kolkata,Afternoon,0,Evening,Bangalore,Economy,2.67,14,6488
Indigo,6E,Chennai,Afternoon,0,Evening,Delhi,Economy,2.75,27,3191
Air_India,AI,Hyderabad,Morning,1,Evening,Delhi,Economy,9.83,21,4387
SpiceJet,SG,Mumbai,Evening,1,Night,Kolkata,Economy,25.67,33,5253
Indigo,6E,Hyderabad,Early_Morning,1,Morning,Chennai,Economy,5.0,37,4440
Air_India,AI,Chennai,Evening,1,Late_Night,Bangalore,Business,7.17,34,60260
Vistara,UK,Hyderabad,Early_Morning,1,Night,Chennai,Economy,13.42,7,12033
Vistara,UK,Hyderabad,Night,1,Morning,Bangalore,Economy,14.25,3,14264
Vistara,UK,Bangalore,Morning,1,Night,Hyderabad,Economy,12.42,27,5322
Air_India,AI,Mumbai,Afternoon,1,Late_Night,Bangalore,Business,8.17,39,54608
Air_India,AI,Mumbai,Early_Morning,1,Late_Night,Bangalore,Economy,17.08,26,6502
Indigo,6E,Kolkata,Morning,1,Evening,Delhi,Economy,7.67,8,12348
Air_India,AI,Hyderabad,Night,0,Night,Mumbai,Economy,1.67,40,2301
Indigo,6E,Hyderabad,Afternoon,1,Evening,Chennai,Economy,4.33,6,4453
Vistara,UK,Bangalore,Night,1,Early_Morning,Hyderabad,Business,10.17,30,37985
Air_India,AI,Mumbai,Early_Morning,1,Evening,Hyderabad,Business,11.33,33,45693
Air_India,AI,Delhi,Afternoon,1,Night,Hyderabad,Economy,9.08,40,4415
Air_India,AI,Bangalore,Early_Morning,1,Afternoon,Delhi,Economy,5.5,40,4294
GO_FIRST,G8,Bangalore,Afternoon,1,Early_Morning,Mumbai,Economy,16.25,17,7317
Indigo,6E,Hyderabad,Morning,1,Night,Delhi,Economy,9.75,38,5846
Vistara,UK,Kolkata,Evening,1,Evening,Mumbai,Economy,22.92,5,11675
Vistara,UK,Delhi,Morning,1,Evening,Kolkata,Economy,8.25,28,6578
AirAsia,I5,Delhi,Early_Morning,0,Early_Morning,Kolkata,Economy,2.42,19,3999
Vistara,UK,Hyderabad,Morning,0,Morning,Mumbai,Business,1.5,19,17794
Air_India,AI,Mumbai,Morning,1,Early_Morning,Delhi,Economy,17.5,34,4274
Air_India,AI,Mumbai,Evening,1,Afternoon,Kolkata,Business,20.5,36,49725
Vistara,UK,Chennai,Afternoon,1,Evening,Delhi,Economy,7.25,38,5606
Vistara,UK,Bangalore,Evening,1,Morning,Kolkata,Business,12.92,5,60508
Air_India,AI,Delhi,Morning,1,Morning,Kolkata,Economy,23.83,42,5276
Indigo,6E,Kolkata,Morning,1,Evening,Bangalore,Economy,9.42,13,6489
Air_India,AI,Mumbai,Morning,1,Early_Morning,Chennai,Economy,22.0,34,5380
Vistara,UK,Hyderabad,Evening,1,Morning,Kolkata,Business,14.92,22,70154
GO_FIRST,G8,Mumbai,Early_Morning,0,Morning,Delhi,Economy,2.17,28,2339
Vistara,UK,Kolkata,Morning,1,Night,Mumbai,Business,11.33,15,74127
Vistara,UK,Hyderabad,Early_Morning,1,Evening,Chennai,Business,9.5,8,51707
Vistara,UK,Mumbai,Morning,1,Afternoon,Bangalore,Business,4.58,6,39766
Vistara,UK,Kolkata,Morning,1,Morning,Chennai,Business,25.42,15,55502
GO_FIRST,G8,Hyderabad,Afternoon,1,Night,Mumbai,Economy,7.75,19,4165
Vistara,UK,Chennai,Morning,1,Night,Bangalore,Business,9.67,12,60260
Vistara,UK,Chennai,Afternoon,1,Morning,Kolkata,Business,21.17,22,54896
Air_India,AI,Mumbai,Early_Morning,1,Evening,Bangalore,Business,9.25,11,54608
Indigo,6E,Bangalore,Afternoon,1,Night,Mumbai,Economy,5.92,41,3012
Indigo,6E,Mumbai,Morning,0,Afternoon,Chennai,Economy,2.0,7,7833
Vistara,UK,Delhi,Afternoon,1,Early_Morning,Hyderabad,Business,19.0,19,51697
Air_India,AI,Mumbai,Early_Morning,1,Night,Hyderabad,Economy,15.08,6,16023
Air_India,AI,Mumbai,Afternoon,1,Morning,Bangalore,Economy,17.33,33,6082
Indigo,6E,Kolkata,Early_Morning,0,Morning,Mumbai,Economy,2.83,15,7959
Air_India,AI,Bangalore,Early_Morning,1,Night,Mumbai,Business,15.42,44,54684
Vistara,UK,Bangalore,Early_Morning,1,Night,Kolkata,Business,15.75,16,60508
Indigo,6E,Delhi,Morning,0,Afternoon,Mumbai,Economy,2.17,33,3001
